,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
37,Lycoris squamigera,"Resurrection lily, surprise lily, magic lily, naked lady","Perennial, bulb",Full sun to partial shade,"Well-drained, sandy, loamy",Neutral to acidic (6.5),Summer,"White, rose pink with a hint of lilac",Asia,,Amaryllidaceae
38,Selaginella lepidophylla,"Resurrection plant, Rose of Jericho, false Rose of Jericho, stone flower, dinosaur plant",Perennial,Full,None needed,,,,North America,,Selaginellaceae
40,Begonia rex-cultorum,Rex begonia,Herbaceous perennial,Part shade to full shade,Porous,5.7-6.2 (more acidic),Not grown for flowers,Not grown for flowers,"Northeastern India, southern China, and Vietnam",Toxic to animals,Begoniaceae
1324,Rhodochiton atrosanguineus,"Rhodochiton, Purple bell vine",Perennial,Full,"Moist, well-drained, loamy",Neutral,"Summer, fall",Purple,North America,,Plantaginaceae
41,Rheum rhabarbarum or Rheum × hybridum,Rhubarb,"Vegetable, perennial","Full sun, partial sun","Moist, well-drained","Acidic, neutral (6.0–7.0)","Spring, summer",,Asia,Leaves are toxic to people and pets,Polygonaceae
42,Phalaris arundinacea var. 'Picta'.,"Ribbon grass, reed canary grass",Perennial ornamental grass,"Full, partial","Loamy, clay, sandy, well-drained, moist","Acidic, neutral, alkaline",Summer,"Green, but insignificant","Europe, North America",,Poaceae
43,Betula nigra,"River birch, water birch, black bird, red birch",Tree,"Full, partial",Moist,Acidic,,,North America,,Betulaceae
44,Phoenix roebelenii,"Robellini palm, pygmy date palm, miniature date palm",Tree,"Full sun, partial sun",Moist but well-drained,"Acidic, neutral, alkaline",Spring,Creamy white,Asia,,
46,Cistus spp.,Rockrose,Shrub,Full,Well-drained,"Acidic, neutral, alkaline",Summer,"Pink, yellow, white",Mediterranean,,Cistaceae
48,Juniperus scopulorum,"Rocky Mountain Juniper, Red Cedar","Tree, shrub","Full, Partial",Sandy,Neutral,,,North America,,Cupressaceae
327,Juniperus scopulorum 'Wichita Blue',Rocky Mountain juniper,Needled evergreen,Full sun,Adaptable to many soils except wet,5.0-7.5,,,Western North America,,Cupressaceae
50,Rosa spp.,Rose,Deciduous shrub,Full sun,"Loamy, well drained",Slightly acidic to neutral (6.5 to 6.8),"Spring, summer, fall","White, red, pink, yellow, orange","Europe, Asia, North America",,Rosaceae
51,Lychnis coronaria,"Rose Campion, Rabbit's Ears, Crown Pink","Biennial, short-lived perennial",Partial to full sun,"Well-drained, tolerant of most soils",Neutral to partly acidic,Early to mid summer,"Magenta, pink, white",Europe,,Caryophyllaceae
591,Hibiscus syriacus,"Rose of Sharon, shrub althea, rose mallow, Syrian mallow, Syrian hibiscus",Shrub,"Full, partial","Moist, well-drained","Acidic, neutral","Summer, fall","Pink, purple, lavender, red, blue, white; often with dark throats",Asia,,Malvaceae
52,Salvia rosmarinus,Rosemary,"Herb, perennial",Full sun,"Sandy, loamy, well-drained","Acidic, neutral","Spring, summer",,Mediterranean,,Lamiaceae
458,Calathea Orbifolia syn. Geoppertia orbifolia,Round-leaved calathea,"Perennial, Herbaceous",Partial Shade,Moist but well-drained,"Acid, Neutral, Alkaline",Rarely flowers indoors,Creamy white inflorescences,South America,,Marantaceae
54,Delonix regia,"Royal poinciana, flame tree, flamboyant, peacock flower, gold mohair, royal flame tree",Tree,Full,"Loamy, sandy, clay, well-drained","Acidic, neutral, alkaline",Summer,"Red, orange",Africa,,Fabaceae
55,Ficus elastica,"Rubber plant, rubber tree",Evergreen tree,Partial shade,Moist but well-drained,Acidic,Rarely blooms,Rarely blooms,Asia,Toxic to dogs and cats,
58,Hydrangea quercifolia 'Ruby Slippers',Ruby Slippers hydrangea,Deciduous flowering shrub,Full sun to part shade,Loamy,5 to 6.0,Summer,White gradually turning pale pink then ruby red,(of the species) Southeastern US from Georgia to Florida to Louisiana,,
59,Thalictrum thalictroides (previously Anemonella thalictroides),"Rue anemone, windflower",Herbaceous perennial,Partial to full shade,Humus-rich and well-drained,Neutral,March through to early June,White or pale pink,Eastern North America,Possibly toxic to humans and animals,Ranunculaceae
589,Ruta graveolens,"Rue, common rue, garden rue, herb of grace","Perennial, herb",Full sun,Well-drained,"Acidic, neutral, alkaline (6.5 to 8.5)",Summer,,Europe,"Toxic to people, toxic to pets",Rutaceae
60,Rosa rugosa,Rugosa rose,"Perennial, shrub, rose",Full,"Loamy, moist, well-drained",Acidic,"Spring, summer","Pink, red, lavender, white",Asia,,Rosaceae
837,Herniaria glabra,"Rupturewort, smooth rupturewort, green carpet",Evergreen perennial groundcover,"Full, partial","Sandy, loamy",Neutral to acidic,Late spring to early summer,Light green (insignificant),"Europe, Asia",,Caryophyllaceae
62,Salvia yangii (formerly Perovskia atriplicifolia),Russian sage,"Shrub, perennial",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","Blue, purple",Asia,,Lamiaceae
63,Brassica napus (Napobrassica Group),"Rutabaga, Swedish turnip, swede",Root vegetable,Full sun,"Loamy, well-drained",Slightly acidic to neutral (6.0 to 6.5),Rarely flowers,Yellow,Europe,,
64,Artemisia dracunculus (Sativa subspecies),Saffron Crocus,Perennial herb,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,Temperate Europe and Asia,,
65,,"Sagebrush buttercup, crowfoots",Perennial,Full sun,"Good drainage, tolerant of most soils, likes moisture",6.0 to 7.5,Early spring,Yellow,"Northwestern US, western Canada","Toxic to people, toxic to animals",
66,Cycas revoluta,"Sago palm, king sago, cycad, Japanese sago",Perennial shrub,"Full, partial","Sandy, moist, but well-draining soil",Acidic (5.5–6.5),Nonflowering,Nonflowering,Asia,Toxic to humans and pets,Cycadaceae
1266,Philodendron spiritus-sancti,Santa Leopoldina,Vine,"Full, Partial","Loamy, Sandy, Well-drained","Acidic, Neutral","Spring, Summer","Pink, White",South America,"Toxic to pets, toxic to people",Araceae
69,Amelanchier alnifolia,"Saskatoon Serviceberry, Western Serviceberry, Indian Pear, Prairie Berries, Juneberries",Shrub,"Full, Partial","Moist, Well-drained",Neutral,Spring,White,North America,,Rosaceae
71,"Clarkia amoena; formerly, Godetia amoena","Satin flower, farewell-to-spring",Annual,Full sun to partial shade,"Average to low fertility needs, average to low moisture levels, well-drained",Neutral,June to July,"Lavender, pink, red, salmon, or white",West Coast of North America,,
72,Scindapsus pictus,"Satin pothos, silk pothos, silver pothos, silver philodendron",Perennial vine,Bright indirect light indoors,Potting soil mix,6.1 to 6.5,Summer,Inconspicuous,Southeast Asia,Toxic to pets,
82,Scindapsus pictus 'Exotica',"Satin pothos, silver pothos, silver splash pothos, silver philodendron, silver vine",Vine,Partial,Moist but well-drained,Acidic,"Spring, summer","Green, white",Asia,Toxic to pets,Araceae
73,Citrus unshiu,"Satsuma orange, Satsuma, satsuma mandarin, unshu mikan, cold hardy mandarin",Evergreen citrus tree,Full,"Rich, moist","Acidic, neutral",Spring,White,China,,Rutaceae
74,Magnolia x soulangiana,"Saucer magnolia, tulip magnolia, Chinese magnolia","Tree, shrub","Full, partial",Moist but well-drained,"Acidic, neutral",Spring,"Pink, white",Asia,,Magnoliaceae
75,Helianthus grosseserratus,Sawtooth sunflower,Perennial,Full sun,"Rich, moist, and well-draining",Neutral,Late summer to fall,Yellow,United States and Canada,,
76,Allium fistulosum,"Scallion, green onion, spring onion, bunching onion","Perennial, bulb",Full sun,"Sandy, loamy, well-drained",Acidic to neutral (6.0 to 7.0),Spring,,Asia,Toxic to pets,Amaryllidaceae
77,,Scarlet Oak,Tree,Full Sun,"average, dry to medium, well-drained soil",Acidic,April to May,Yellow to Green,Eastern United States,,
904,Castilleja coccinea,"Scarlet Painted Cup, Indian Paintbrush, Painted Cup",Biennial,Full sun,"Moist, well-draining",Acidic,Spring to early summer,"Red, red-orange, orange-yellow",North America,Toxic to humans and animals,
79,Emilia coccinea,Scarlet tassel flower,Annual,Full sun/partial shade,Well-drained,,Summer,Red/Orange,Tropical Asia,,
81,Schefflera spp.,"Schefflera, umbrella plant, umbrella tree",Broadleaf evergreen,"Bright, indirect light",Rich and moderately moist,Slightly acidic (6.0-6.5),Summer (outdoors),"White, pink, or red (indoor plants rarely bloom)",Taiwan,"Mildly toxic humans, toxic to pets",Araliaceae
1198,Allium schubertii,"Schubert's allium, ornamental onion, tumbleweed onion",Perennial bulb,Full,"Dry to average moisture, well-drained loam",5.5 to 7.0 (acidic to neutral),Late spring,Rosy purple,Southern Eurasia,"Toxic to dogs and cats, mildly toxic to humans",Amaryllidaceae
84,Arenaria verna,"Scotch moss, Scottish moss, moss sandwort","Herbaceous, evergreen, perennial","Full, partial","Rich, well-drained",Acidic to neutral (5.6 to 7.5),Late spring to early summer,White,Europe,,Caryophyllaceae
83,Pinus sylvestris,"Scotch pine, Scots pine",Coniferous evergreen tree,Full sun (at least six hours per day),Acidic; poor soil is acceptable,5.0 to 7.5,None,None,Europe,,Pinaceae
86,Limonium latifolium,Sea Lavender,Perennial,"Part sun, sun",Sandy,6.1-7.8,Summer/Fall,"Blue, white, purple, pink",Coastal areas,,
85,,"Sea holly, blue sea holly, star thistle","Herbaceous, perennial",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Summer, fall","Blue, purple","Europe, Asia",,Apiaceae
88,Mimosa pudica,"Sensitive plant, touch-me-not, sleepy plant","Shrub, herbaceous, perennial, annual","Full, partial","Well-draining, loamy","Acidic, neutral",Summer,"Purple, pink","Central America, South America",,Fabaceae
90,Picea omorika,Serbian spruce,"Coniferous, needled, evergreen tree",Full sun to partial shade,Well-drained,Not fussy about soil pH; can be grown with a soil pH ranging from 5.6 to 9,,,Balkans,,Pinaceae (Pine)
91,Capsicum annuum 'Serrano',Serrano pepper,"Perennial, vegetable",Full sun,"Loamy, moist, well-drained","Mildly acidic, neutral (6.0 to 7)","Summer, Fall",,Central America,,Solanaceae
92,,Sesame,Tropical,Full sun,"Medium texture, well-drained","Neutral, sweet (no salt)",Summer,"White, purple, blue","Sub-Saharan and North Africa, India",None,Pedaliaceae
93,"Allium cepa var. aggregatum (formerly, Allium ascalonicum, Dutch shallot), A. oschaninii (French shallot), Allium stipitatum (Persian shallot)","Shallot, French shallot, gray shallot, Dutch shallot","Biennial, bulb",Full sun,"Loamy, well-drained","Neutral, acidic",Spring,,Uncertain; likely southwest Asia,Toxic to pets,Amaryllidaceae
96,Leucanthemum × superbum,Shasta daisy,Perennial,"Full, partial","Loamy, moist but well-drained",Neutral,"Spring, summer",White,North America,Toxic to pets,Asteraceae
97,Quercus imbricaria,Shingle Oak,Deciduous Tree,Full Sun,Hummus loams with good drainage,Neutral to slightly alkaline,April,Yellowish-green,Central United States,,
1127,Monstera dubia,Shingle plant,Perennial,Partial sun,"Loamy, moist but well-drained","Acidic, neutral","Spring, summer",Pink,"Central America, South America",Toxic to pets,
894,Hydrangea macrophylla 'Hanabi',Shooting star hydrangea,Deciduous shrub,"Full, partial",Moist but well-drained,Acidic to neutral,"Summer, fall",White,"Cultivar, not native range; parent species native to Asia","Mildly toxic to humans, animals",Hydrangeaceae
98,Dodecatheon meadia or Primula meadia,"Shooting star, eastern shooting star, prairie pointers","Herbaceous, perennial",Partial,Rocky or sandy loam,Slightly acidic (6.0 to 6.8),Late spring,"White, pink, purple",Central and Eastern North America,,Primulaceae
99,Cypripedium reginae,"Showy Lady Slipper, Queen's Lady's Slipper",Orchid,Dappled Sun/Part Shade,"Moist, fertile, leafy, humus-rich soil",Acid to neutral,Between May and August depending on location,White flower with pink-magenta pouch,Eastern North America,Hairs on leaves can be mildly toxic to humans,
101,Asclepias speciosa,Showy milkweed,"Herbaceous, Perennial",Full,Well-drained,"Acidic, Neutral, Alkaline","Spring, Summer","Purple, Pink",North America,"Toxic to cats, dogs, horses, and humans",Apocynaceae
103,"Iris x, Iris sibirica",Siberian iris,Herbaceous perennial,"Full, partial","Moist, well-drained","Acidic, neutral","Spring, summer","Blue and purple are most common, but also white, yellow, pink, red","Europe, Asia","Toxic to humans, toxic to pets",Iridaceae
105,Ceiba speciosa (formerly Chorisia speciosa),Silk Floss Tree,Deciduous Tree,Full Sun,"Adaptable, well-drained",Adaptable,October-November,Pink,South America,Yes,
106,Albizia julibrissin,"Silk Tree, Pink Silk Tree, Persian Silk Tree",Tree,"Full, partial",Moist but well-drained,"Acidic, neutral, alkaline",Summer,Pink,"Middle East, Asia",Seed pods may be toxic if ingested,Fabaceae
107,Cornus amomum,Silky Dogwood,Deciduous shrub,"Part Shade , Shade","Loamy, Moist , Wet",7-May,"March, April",White,Eastern North America,,
316,Betula pendula,"Silver Birch, White Birch",Tree,Full Sun- Part Shade,"Medium to wet, well-drained sandy",Prefers soil below 6.5,March to April,Yellowish brown or Green,Europe and Asia,,
108,Dymondia margaretae,Silver carpet,Herbaceous perennial,"Full sun, part shade","Sandy, silt, loamy",6.5 to 7.5,Summer,Yellow,South Africa,,
109,Tilia tomentosa,Silver linden,Tree,Partial to full sun,Moist and well-draining,Alkaline,Summer,Pale yellow,"Europe, Asia",,
110,Acer saccharinum,Silver maple,Deciduous tree,"Full sun, part shade","Moist, well-drained soil, Wet soil",4.5 to 7.5,Early Spring,Inconspicuous,Eastern United States,,Sapindaceae
115,Ledebouria socialis,"Silver squill, wood hyacinth, leopard lily",Perennial,Partial,Well-drained,"Acidic, neutral, alkaline",Spring,Green,Africa,"Toxic to humans, toxic to pets",Asparagaceae
116,Miscanthus spp.,Silvergrass,Deciduous Grass,"Full Sun, Partial Shade",Various,Various,"Late Summer, Fall","Silver, Pink",Asia,,Poaceae
271,Diphylleia grayi,"Skeleton flower, umbrella leaf, Asian umbrella leaf","Perennial, herbaceous","Partial, full shade","Sandy, loamy",Acidic to neutral (4.5 to 7.0),Summer,White,"China, Japan",,Berberidaceae
118,Tillandsia ionantha,Sky plant,"Perennial, succulent",Partial,,,Fall,"Purple, red, pink",Central and South America,,
1226,Chamaecrista fasciculata,"Sleeping plant, sensitive plant, golden cassia, locust weed","Annual, short-lived perennial",Full to part sun,"Loam, clay, sand, adaptable to many soils",Acidic to neutral,Mid summer through fall,Yellow,Eastern United States,,
119,Euphorbia lomelii,"Slipper plant, lady slipper",Perennial,Full,"Sandy, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Red, Orange, Yellow",Central America,Toxic to pets,
121,Hydrangea arborescens,"Smooth hydrangea, Wild hydrangea","Deciduous, Shrub",Partial shade,Well-drained,"Acid, Neutral, Alkaline",Summer,White,Eastern USA,Toxic to people and pets,Hydrangeaceae
122,Rhus glabra,Smooth sumac,Deciduous shrub,"Full sun, partial sun","Average, well-drained","Acidic, neutral, alkaline","Spring, summer","Yellow, green",North America,,Anacardiaceae
124,Cochliasanthus caracalla,Snail vine,"Perennial, vine","Full, partial","Well drained, fertile","Acidic, neutral","Summer, fall","White, pink, purple",Central and South America,,Fabaceae
125,Dracaena trifasciata (formerly Sansevieria trifasciata),"Snake plant, viper's bowstring hemp, St. George's sword","Evergreen, perennial",Shade to partial sun,"Sandy, well-drained",Slightly acidic to slightly alkaline,Spring (blooms are rare),White,West Africa (tropical),Toxic to cats and dogs,Asparagaceae
127,Antirrhinum majus,"Snapdragon, dog's mouth, lion's mouth, toad's mouth",Herbaceous perennial (usually grown as an annual),"Full sun, part shade","Rich, moist, well-draining",6.2–7.0 (slightly acidic to neutral),Spring to fall; may slow down in mid-summer,"White, yellow, pink, red, orange, peach, purple, violet","Mediterranean Europe, Syria, Turkey",,Plantaginaceae
129,Helenium autumnale,"Sneezeweed, Helen's Flower",Perennial flower,Full sun,"Moist, well-draining",5.5 to 7.0,"Late summer, Fall","Yellow, gold, orange, coppery brown, red",North America and southern Canada,,Asteraceae
130,Ensete glaucum,Snow banana,Perennial,"Full, partial",Well-drained,"Acidic, neutral, alkaline",Summer,"Green, white",Asia,,Musaceae
131,Epipremnum aureum 'Snow Queen',Snow queen pothos,Vine,Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white",Asia,,Araceae
132,Cerastium tomentosum,"Snow-in-summer, silver carpet, mouse ear, chickweed","Herbaceous, perennial",Full,"Loamy, sandy, well-drained","Acidic, neutral",June,White,Europe,,Caryophyllaceae
