,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
673,American persimmon,Diospyros virginiana,,Deciduous tree,35 to 50 feet,"Full sun, afternoon shade","Tolerant of all soils except salt, loam preferred",6.5 to 7.5,Late spring,White or pink,4 to 9 (USDA),Eastern North America,
674,"Northern bush honeysuckle, bush honeysuckle",Diervilla lonicera,Caprifoliaceae,Deciduous shrub,"2–3 ft. tall, 2–4 ft. wide","Full, partial","Fertile, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,Yellow-orange,3–10 (USDA),North America,
675,Dwarf Flowering Almond,Prunus glandulosa,Rosaceae,Shrub,"3-4 ft. wide, 5 ft. tall",Full,"Moist, well-drained loam",Neutral,Spring,Pink,4-8 (USDA),Asia,Toxic to people
676,Early Girl tomato,Solanum lycopersicum ‘Early Girl’,,"Annual, Perennial","6-9 ft. tall, 3-4 ft. wide",Full,"Loamy, moist but well-drained","Acidic, neutral","Spring, Summer, Fall",Yellow,"3-11, USA",Europe,Toxic to pets
677,'Early Harvest' apple,Malus domestica,Rosaceae,"Tree, fruit","10-25 ft. tall, 10-25 ft. wide",Full,Moist but well-drained,"Acidic, neutral","Spring, summer","White, pink",3–8 (USDA),North America,Toxic to pets.
678,"Easter lily, trumpet lily, Bermuda lily",Lilium longiflorum,Liliaceae,"Perennial, bulb","2–3 ft. tall, 1 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral",Summer,"White, pink",4–8 (USA),Asia,Toxic to cats
679,Eastern Cottonwood,Populus deltoides,Salicaceae,Deciduous tree,"50 to 80 ft. tall, 50 to 80 ft. wide",Full sun,"Average, Medium to Wet, Well-drained",Adaptable,March to April,"Green (Female), Red (Male)",USDA zones 2-9,Eastern and central North America,
680,"Canadian hemlock, Eastern hemlock",Tsuga canadensis,Pinaceae,Tree,"70 ft. tall, 25-35 ft. wide","Full, partial",Moist,Acidic,,,3-7 (USDA),North America,
681,Eastern white pine,Pinus strobus,Pinaceae,Tree,"50-80 ft. tall, 20-40 ft. wide","Full, partial","Moist, well-drained",Acidic,,,3-8 (USDA),North America,
682,Echeveria,Echeveria spp.,Crassulaceae,Succulent,"2-24 in. tall, 2-12 in. wide",Full,Well-draining,Acidic,"Spring, summer","Pink, orange, white, yellow, red",9-12 (USDA),"Central America, North America, South America",
683,Mexican peacock echeveria,Echeveria peacockii,,Succulent,6 inches wide,"Full, partial","Sandy, well-drained",Acidic,"Spring, summer",Pink,"9b, 10a, 10b, 11a, 11b",Mexico,
684,"Sweetgum, sweet gum, alligatorwood, American sweetgum, American storax, gum tree, redgum, star-leaved gum",Liquidambar styraciflua,Altingiaceae,Deciduous tree,"80 ft. tall, 60 ft. wide for the species plant",Full sun,"Well-drained loam, with good fertility",Acidic to neutral,,,5 to 9,"Eastern United States, Northern Mexico",
685,Edelweiss,Leontopodium alpinum,Asteraceae,Perennial,"6 to 12 inches tall, 8 inches wide",Full to partial sun,"Well-drained, gritty soil",Neutral,Late spring through summer,White,"4-7, USDA",Steppe region of Asia,
686,"Papyrus, Egyptian papyrus, King Tut's grass",Cyperus papyrus,,"Perennial reed, sedge","5–8 feet tall, 3–4 feet wide",Full sun to part shade,Wet boggy soil,6.0 to 8.5 (acidic to alkaline),Mid- to late summer,Greenish-brown (flowers are insignificant),9–11 (USDA),Africa,
687,Egyptian Star Cluster,Pentas lanceolata,,Perennial,24–36 inches,Full sun to partial shade,Fertile with good drainage,Mildly acidic,Summer,"Red, pink, lavender, or white",6–11,Africa,
688,"Elecampane, horse heal, elfdock",Inula helenium,,Perennial herb,"3–6 feet tall, 2–3 feet wide",Full sun to part shade,Any well-drained soil,6.5–7.5 (neutral),Summer to fall,Yellow,3–7 (USDA),Eurasia; naturalized in North America,
689,"Dwarf jade, elephant bush, miniature jade, small-leaf jade",Portulacaria afra,Didiereaceae,"Succulent evergreen shrub, houseplant",Up to 15 ft. tall as a native plant (but normally grown as a much smaller houseplant),"Full, partial","Cactus/succulent potting mix, or sandy, gravelly garden soil",Slightly acidic (5.6 to 6.5),Late spring to early summer (flowers are indistinct),"White, pink",9-11 (USDA),South Africa,
690,"Elephant's ear, American Taro",Xanthosoma spp.,Araceae,"Perennial, Herbaceous",Up to 8 ft. tall,"Partial, Shade",Moist but Well-drained,"Acidic, Neutral",Summer,Greenish White,8-13 (USDA) depends on species,Central and South America,Toxic to people and pets
691,"Ponytail palm, elephant's foot",Beaucarnea recurvata,,Broadleaf evergreen shrub/ tree,6 to 8 feet tall; 3- to 5-foot spread (up to 30 feet tall when planted outdoors),Full sun,"Sandy, well-draining soil",6.5 to 7.5 (neutral),Seasonal bloomer,Creamy white,10 to 11 (USDA); usually grown as a houseplant,Semi-desert areas of Central America,
692,"Emerald Gaiety Wintercreeper, Emerald Gaiety euonymus, wintercreeper euonymus",Euonymus fortunei,Celastraceae,Shrub,"3-5 ft. tall, 3-6 ft. wide","Full, partial",Moist but well-drained,Alkaline,Summer,"Green, white",5-8 (USDA),China,
693,"Emerald green arborvitae, Smaragd arborvitae, American arborvitae",Thuja occidentalis,Cupressaceae,Needled evergreen,"12–20 ft. tall, 3–10 ft. wide","Full sun, partial shade",Moist but well-drained,"Acidic, alkaline",Does not bloom,Does not bloom,2–7 (USDA),North America,"Toxic to people, toxic to cats, dogs, and pets"
694,"Empress Tree, Royal Paulownia, Foxglove Tree",Paulownia tomentosa,,Deciduous Tree,"30 to 40 ft. tall, 30 to 40 ft. wide",Full sun,Adaptable,Adaptable,April,Lavender,"5-8, USA",China,
695,American wisteria,Wisteria frutescens,,Vine,20 to 30 ft. long,"Full, partial",Moist but well-drained,"Acidic, neutral","Spring, summer","Blue, purple, white","5 to 9, USA",North America,Toxic to humans and pets
696,Endless Summer hydrangea,Hydrangea macrophylla Endless Summer,Hydrangeaceae,Shrub,"3-5 ft. tall, 3-5 ft. wide",Partial sun,"Loamy, moist, well-drained","Acidic, neutral, alkaline","Spring, summer","Pink, purple. blue, red, white",4-9 (USDA),"Cultivar, no native range","Toxic to people, toxic to dogs, cats, and horses"
697,"English bluebells, bluebells",Hyacinthoides non-scripta,Asparagaceae,"Perennial, bulb","12 in. tall, 3-8 in. wide",Partial,"Loamy, sandy, clay","Acidic, neutral, alkaline",Spring,"Blue, purple",4-9 (USDA),Europe,"Toxic to humans, toxic to pets"
698,"English daisy, common daisy, lawn daisy",Bellis perennis,Asteraceae,"Herbaceous perennial, but a biennial in the southern US and an annual in the northern US","6–12 inches tall, 6–12 inches wide",Partial,"Loamy, moist","Acidic, neutral, alkaline","Spring, summer","Red, white, pink",4–9 (USDA),Europe,
699,"Common daisy, lawn daisy, English daisy",Bellis perennis,,Biennial,"3 - 6 in. tall, 3 - 9 in. wide",Full sun to partial shade,"Moist, well-draining","Acidic, neutral, alkaline",Spring to summer,"White, pink, red","4 to 8, USA",Europe,Toxic to pets and people
700,"English hawthorn, smooth hawthorn",Crataegus laevigata,Rosaceae,"Shrub, tree","6–25 ft. tall, 5–25 ft. wide",Full,"Well-drained, loamy","Acidic, neutral, alkaline","Spring, summer","White, pink, red",4–8 (USDA),"Europe, Africa",
701,"English Holly, common holly, European holly",Ilex aquifolium,Aquifoliaceae,Evergreen Tree or shrub,30-50 ft. tall,Full sun to partial shade,Well-drained,Acidic to neutral,Summer,Blue/lilac shades,5-8 (USDA),"Western and southern Europe, northwest Africa, and southwest Asia",Toxic to humans and pets
702,"English ivy, common ivy, European ivy",Hedera helix,Araliaceae,"Perennial, evergreen climbing vine",N/A; climbs and spreads as much as possible,Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow",4-13 (USDA),"Europe, Scandinavia, Russia",Toxic to people and pets
703,"English lavender, true lavender, common lavender",Lavandula angustifolia,Lamiaceae (mint),Herbaceous flowering perennial,"2-3 ft. tall, 2-4 ft. wide",Full sun,"Sandy, gritty, dry to medium, well-drained",Neutral (6.7 to 7.3),Midsummer,"Dark or light purple is most common, but hybrid colors also available in lavender, violet-blue, white, and pink",5-8 (USDA),Mediterranean,Toxic to animals
704,"English oak, truffle oak, pedunculate oak",Quercus robur,Fagaceae,Tree,"40–60 ft. tall, 40–70 ft. wide",Full,"Loamy, moist, well-drained","Acidic, neutral, alkaline",Spring,Green,4–8 (USDA),"Africa, Asia, Europe","Toxic to people, toxic to pets"
705,"Thyme, Common Thyme, Garden Thyme, English Thyme",Thymus vulgaris,,Herbaceous perennial,"6-12 in. tall, 6- to 12-in. spread",Full sun,"Loamy, sandy",Acidic to alkaline (6.0 to 8.0),,,5 to 9 (USDA),Mediterranean,
706,Amur adonis,Adonis amurensis,,Herbaceous perennial,1 foot tall (with a somewhat greater spread),Full sun to partial shade,Well-drained,Slightly acidic to slightly alkaline,March or April in zone 5,Yellow,3 to 7,Northeastern Asia,
707,English Walnut,Juglans regia,Juglandaceae,Deciduous Tree,"40-60 ft. tall, 40-60 ft. wide",Full Sun,"moist, organically rich, well-drained",6.0-6.5,May to June,Yellow-Green,USDA 3-7,Europe to Central Asia,
708,"Epazote, Jesuit's tea, Mexican tea, wormseed",Dysphania ambrosioides,Amaranthaceae,"Perennial, herb","2-3 ft. tall, 18 in. wide",Full,Well-drained,"Acidic, neutral, alkaline",,,8-10 (USDA),"Central America, South America","Toxic to humans, toxic to pets"
709,Estragon,Artemisia dracunculus (Sativa subspecies),,Perennial herb,24 inches,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,4 and warmer,Temperate Europe and Asia,
710,"Eucalyptus, silver dollar tree, argyle apple",Eucalyptus cinerea,Myrtaceae,Tree,"6–53 ft. tall, 2–15 ft. wide",Full,Well-drained,"Acidic, neutral",Summer,"White, red",8–11 (USDA),Australia,"Toxic to people, toxic to pets"
711,"Euphorbia, spurge",Euphorbia spp.,Euphorbiaceae,"Herbaceous, perennial, succulent","6–36 in. tall, 6–36 in. wide",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, red, pink, white",5–11 (USDA),"Africa, Asia, North America, South America","Toxic to humans, toxic to pets"
712,"Eureka lemon tree, 'Garey's Eureka'",Citrus x limon 'Eureka',Rutaceae,Evergreen tree,Up to 20 ft. tall,"Full sun, partial shade","Loamy, sandy, clay","Well-drained, moist",Spring,,9a-11b (USDA),California,Toxic to dogs and cats
713,"European Ash, Common Ash",Fraxinus excelsior,,Tree,70 to 80 Feet,Full Sun,"Moist, Well Drained, Loam",Adaptable,April to May,White,5 to 7,"Europe, Caucaus",
714,"European beech, common beech",Fagus sylvatica,,Tree,"50–60 ft. tall, 35–50 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow-green,4–7 (USDA),Europe,Toxic to humans and animals
715,"Evening primrose, common evening primrose, fever plant, cure-all",Oenothera biennis,Onagraceae,"Herbaceous, biennial","3–5 ft. tall, 2–3 ft. wide","Full, partial",Moist but well-drained,"Neutral, acidic","Summer, fall",Yellow,4-9 (USDA),North America,
716,"Fairy duster, false mesquite",Calliandra eriophylla,Fabaceae,"Perennial, shrub","one to three feet tall, one to three feet wide",Full sun,"Sandy, well-drained",6.0 to 8.0,Spring,Pink,"7-11, USDA","California, Arizona, New Mexico, Texas and Mexico",
717,"Anemone, windflower, Grecian windflower, poppy windflower",Anemone spp.,Ranunculaceae,Herbaceous perennial,"6 in. - 4 ft. tall, 2–3 ft. wide (varies by species)",Full to partial sun,"Rich, moist","Acidic, neutral","Spring, summer, fall (varies by species)","Red, orange, yellow-green, blue, purple, red-purple, white, ivory, pink",3–10 (USDA); varies by species,Temperate zones worldwide; many species are native to North America,"Toxic to humans, toxic to pets"
718,False aralia,Plerandra elegantissima,,Perennial,,718,,,,,,,
719,False cypress tree,Chamaecyparis,,Evergreen,"6-70 ft. tall, 4-20 ft. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral",Not Applicable,Not Applicable,"4-8, USA","North America, Asia",
720,"False hellebore, corn lily, itchweed",Veratrum viride,,Herbaceous perennial,2 to 6 feet tall,Full sun to partial shade,"Rich, well-draining",Acidic to alkaline,Summer,"White, yellow, green",3 to 8,United States and Canada,
721,"Fragrant tea olive, sweet osmanthus, sweet olive fragrant olive, false holly",Osmanthus fragrans,Oleaceae,Broadleaf evergreen shrub or small tree,"20–30 ft. tall, 10–14 ft. wide","Full, partial",Well-drained,Acidic to neutral (5.0 to 7.5),"Spring, fall, intermittent",White or yellow,8–11 (USDA),Asia,
722,"Blue Wild Indigo, False Indigo",Baptisia australis,Fabaceae,Perennial,"4–5 ft. tall, 3–4 ft. wide","Full, partial","Moderately moist, well-draining","Slightly acidic, neutral (5.0-6.8)",Late spring to early summer,Blue,3–9 (USDA),North America (Eastern U.S.),"Mildly toxic to humans, animals"
723,"Corn plant, dracaena, false palm",Dracaena fragrans,Asparagaceae,"Broadleaf, evergreen, shrub/tree","15–50 ft. tall, 3–10 ft. wide outdoors; container-grown plants can grow up to 6 ft. tall",Partial,"Moist, well-draining, loamy",6.1 to 6.5 (Acidic),Late fall and then again in late spring; nighttime bloomer,"White, yellow",10–12 (USDA),Africa (tropics),Toxic to dogs and cats
724,"False sunflower, oxeye sunflower",Heliopsis helianthoides,Asteraceae,"Herbaceous, perennial","3-6 ft. tall, 2-3 ft. wide",Full,"Moist but well-drained, loamy","Acidic, neutral, alkaline",Summer,"Yellow, orange",3-9 (USDA),North America,
725,"Fan flower, scaevola, fairy fan flower",Scaevola aemula,Goodeniaceae,"Evergreen perennial/shrub, often grown as an annual","9–18 in. tall, 1–2 ft. wide","Full, partial","Average, well-drained",Acidic (5.5-6.0),Late spring to fall,"Blue, purple, white, pink",10–11 (USDA),Australia,
726,Fatsia Spider Web,Fatsia japonica ‘Spider Web’,Araliaceae,Shrub,"6 ft. tall, 5 ft. wide","Partial, shade","Loamy, moist but well-drained","Acidic, neutral",Fall,White,"8-10, USA",Asia,
727,"Fava bean, faba bean, broad bean",Vicia faba,Fabaceae,"Annual, vegetable","2–6 ft. tall, 0.75–1 ft. wide",Full to part sun,"Loamy, moist, well-drained","Acidic, neutral (6.2 to 6.8)","Spring, summer",,2–10 (USDA),"Asia, Mediterranean",Toxic to people with favism
728,"Angel’s trumpet, pricklyburr, downy thorn apple, desert thorn apple, Indian apple, moonflower, sacred datura, jimson weed","Datura inoxia, Datura innoxia",Solanaceae,"Herbaceous, perennial","2–3 ft. tall, 3–6 ft. wide",Full,"Loamy, well-drained","Neutral, alkaline","Summer, fall","White, pink, purple",9–10 (USDA),"North America, Central America, South America","Toxic to people, toxic to pets"
729,"Feather reed grass, reed grass",Calamagrostis x acutiflora,Poaceae,Perennial,"3–5 ft. tall, 1.5–2.5 ft. wide",Full,"Rich, moist","Acidic, neutral, alkaline","Summer, fall",Pinkish-purple,4a-11a USDA,"Europe, Asia",
730,"Fennel, sweet fennel, common fennel",Foeniculum vulgare,Apiaceae,"Perennial, herb","4–6 feet tall, 1.5–3 ft. wide",Full sun,"Moist, well-drained",Acidic (5.5–6.8),Summer,,4–9 (USDA),Mediterranean,
731,"Ficus Audrey, banyan tree, strangler fig",Ficus benghalensis,Moraceae,Tree,"5-10 ft. indoors, 65-100 ft. outdoors",Partial,Moist but well-drained,Acidic,,,"9-11, US",Asia,
732,"Ficus Tineke, Variegated rubber tree",Ficus elastica 'Tineke',Moraceae,"Tree, Perennial","30 feet tall outdoors, 2–10 feet tall indoors",Partial sun,Well-drained,"Acidic, Neutral",Rarely blooms indoor,N/a,10-12 (USDA),Asia,Toxic to pets
733,"Fiddle-leaf fig, banjo fig",Ficus lyrata,Moraceae,Broadleaf evergreen,"50 ft. tall (outdoors), 10 ft. tall (indoors)",Part shade,"Loamy, medium moisture, well-draining",6 to 7,Rarely flowers outside of its native area,Insignificant,10-12 (USDA),Tropical western Africa,Toxic to cats and dogs
734,"Ficus tree, ficus, weeping ficus, fig tree, and weeping fig",Ficus benjamina,Moraceae,Perennial,"Indoors 6 ft. high, 3 ft. wide, outdoors up to 70 ft. tall, 70 ft. wide",Filtered bright sun,"Indoors rich and fast-draining, outdoors loamy and well-draining",6.5 to 7,"Indoor plants do not bloom, outdoor plants bloom during spring",Small yellow or white blossoms,5 to 8 indoors; 9 to 11 outdoors,India and Southeast Asia,Toxic to humans and pets
735,Fire Island hosta,Hosta longipes f. hypoglauca X H. Crested Surf,Asparagaceae,"Herbaceous, with a perennial life cycle","1 ft. high, 28 in. spread",Partial shade,"Evenly moist and well-drained, with average fertility",Neutral to slightly acidic,Mid-summer,Lavender,3 to 9 USDA,Northeast Asia,"Toxic to dogs, cats, horses"
736,"Firebush, scarlet bush",Hamelia patens,Rubiaceae,Herbaceous perennial,"3–15 ft. tall, 2–6 ft. wide","Full sun, partial shade",Well-drained,Neutral to acidic,"Summer, fall","Orange, orange-red, red",8–11 (USDA),"Mexico, Central America, South America",
737,"Mexican cigar plant, firecracker plant",Cuphea ignea,Lythraceae,"Perennial, annual","1-2 ft. tall, 2-3 ft. wide","Full, partial","Moist, well-drained, loamy, clay, sandy","Acid, neutral, alkaline","Spring, summer, fall",Red,10-12 (USDA),"Mexico, Jamaica",
738,Firepower Nandina,Nandina domestica 'Firepower',Berberidaceae,Shrub,"2 ft. tall, 2 ft. wide","Full, partial",Well-drained,Acidic,,,6-9 (USDA),"Cultivar, no native range",Toxic to pets
739,Angelica,Angelica archangelica,Apiaceae,Herbaceous biennial,3 to 6 ft. tall,"Full sun, part shade","Rich, moist soil",Slightly acidic,June to August,"Green, White","Zones 4-7, USDA","Europe, Greenland, West Siberia",
740,Crocodile fern,Odontonema strictum,,Houseplant or perennial,2 to 5 feet tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,Late summer to early fall,Red,10 to 11,Southeast Asia and Australia,
