commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
"Dianthus flowers, pinks, garden pinks, cheddar pinks, clove pinks, gillyflower","D. plumarius, D. superbus, D. deltoides",Caryophyllaceae,Perennial,,Full sun,Moist but well-drained,Neutral to acidic,"3-9, USA","Europe, Asia, Africa",https://www.thespruce.com/thmb/KtBBNJtjohzWNmbPApNsHJhXNpI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/perennial-dianthus-flower-1316045-13-14-d12edc9be4954ed989a5f47092cbd43f.jpg,Dianthus Dianthus spp..json,"6–36 in. tall, 6–24 in. wide","Spring, summer, fall","White, lilac, red, pink",Toxic to pets
Peanut cactus,Echinopsis chamaecereus,,Cactus,,Full,"Sandy, well-drained",Acidic,10a to 11b,South America,https://www.thespruce.com/thmb/9kvAKBWxreFmt1BaeZzojwokbeA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-haworthia-succulents-1902980-hero-c93b59bcc2f34900ae328d1dfdcb9fa9.jpg,Peanut Cactus Echinopsis Chamaecereus.json,6 inches tall,"Spring, summer",Orange-red,
"Donkey's tail, burro's tail, lamb's tail",Sedum morganianum,Crassulaceae,"Perennial, succulent",,"Full, partial","Loamy, sandy","Neutral, alkaline",10–11 (USDA),"Mexico, Honduras",https://www.thespruce.com/thmb/q0vF23lnoSVtBRKpUAapsGCyCo4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-sedum-morganianum-1902975-01-da48acd20ef24c8783c1b979d75eee9f.jpg,Burro's Tail Sedum morganianum.json,"1–4 ft. long, 1–2 ft. wide",Summer,"Red, white, yellow",
White Oak,Quercus alba,,Deciduous,,Full sun,"Rich, moist, well-drained, loamy",5.5-6.5,USDA 3-9,Eastern United States,https://www.thespruce.com/thmb/G-vNVmU4nfQejhY4MKKQcTNs5YA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-lions-tail-5091596-1-9a1444cecd7d4513b843cb53f461924f.jpg,White Oak Quercus alba.json,"60-100 ft. tall, 50-90 ft. wide",May,Yellow-Green,
"Algerian ivy, Canary Island ivy, Madeira ivy",Hedera algeriensis,,Evergreen vine,,Partial shade to partial sun,"Neutral, well-draining","Neutral, slightly acidic",7-11 (USDA),North Africa,https://www.thespruce.com/thmb/3-A1UoadyvTaZH65-89zmyfhzb8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/algerian-ivy-plant-profile-4843270-hero-9fc273255e244914a668705b1857635e.jpg,Algerian Ivy Hedera algeriensis.json,"20-40 ft. long vine, 3-ft. spread",Spring,Flowers rarely; light green,Toxic to humans and animals
"Pecan tree, hardy pecan tree",Carya illinoinensis,Juglandaceae,Deciduous tree,,Full sun,"Loamy, sandy, well-drained",Neutral to acidic (6.5 to 7),"5-9, USDA",Central and east central United States and Mexico,https://www.thespruce.com/thmb/fmUkSlqeiMyldeVdXZOc0bt-QTo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pennisetum-fountain-grasses-care-5195091-hero-172c9ccea9734f71a8448bd245af1349.jpg,Pecan Tree Carya illinoinensis.json,"70-100 ft. tall, 40-75 ft. wide",Spring,Inconspicuous,
Serrano pepper,Capsicum annuum 'Serrano',Solanaceae,"Perennial, vegetable","2–3 ft. tall, 1.5 ft. wide",Full sun,"Loamy, moist, well-drained","Mildly acidic, neutral (6.0 to 7)",9–12 (USDA),Central America,https://www.thespruce.com/thmb/emfpg-NLXTZwlUbCPnklfzZjKTA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRileyOxalis-16-6c10c7afcb394dbb88974bd96dc2251a.jpg,Serrano Pepper Capsicum annuum.json,"2–3 ft. tall, 1.5 ft. wide","Summer, Fall",,
"Red maple, swamp maple, water maple, Drummond red maple, scarlet maple, Carolina red maple, trident red maple, soft maple",Acer rubrum,Sapindaceae,Tree,,"Full, partial","Sandy, clay, well-drained",Acidic,3-9 (USDA),North America,https://www.thespruce.com/thmb/PRWM631QjYhNYTMcrrVRU_YlAJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-common-poppy-papaver-rhoeas-5113751-hero-3246835ea3184e4bb2c51bd0d331ed42.jpg,Red Maple Acer rubrum.json,"40-70 ft. tall, 30 -50 ft. wide",Spring,Red,Toxic to horses and ponies
Lacecap hydrangea,Hydrangea macrophylla,Hydrangeaceae,Shrub,,Partial,Well-drained,"Acidic, neutral",3-9 (USDA),"Cultivars, no native range",https://www.thespruce.com/thmb/SWzJmxmYCNy9PZ4v68B-adm8uKc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRileyLadyPalm-2-ca810cf96f4b46cbb2ff9ce2ba6a279a.jpg,Lacecap Hydrangea Hydrangea macrophylla.json,"3-7 ft. tall, 3-5 ft. wide","Summer, fall","Blue, white, pink","Toxic to humans, toxic to pets"
"African daisy, cape daisy, osteospermum",Osteospermum spp.,Asteraceae,"Perennial, annual",,Full,"Moist, well-drained",Acidic,10–11 (USDA),"Africa, Asia",https://www.thespruce.com/thmb/9_obEgwLX2nxDyXH1PvMbTRsah0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-african-daisies-1402912-17-a4248dc4bd8746bdb06e7404c51beaa5.jpg,African Daisy Osteospermum x hybrida.json,"1–3 ft. tall, 1–2 ft. wide","Spring, summer, fall","Purple, pink, yellow, orange, white",
"Emerald Gaiety Wintercreeper, Emerald Gaiety euonymus, wintercreeper euonymus",Euonymus fortunei,Celastraceae,Shrub,,"Full, partial",Moist but well-drained,Alkaline,5-8 (USDA),China,https://www.thespruce.com/thmb/MRY-MSRRJteHv3cx67DpaPQuwcg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/emerald-gaiety-euonymus-2132749-01-a4e9ab7fd612442ab7c336907654b6c2.jpg,Emerald Gaiety Euonymus Euonymus fortunei 'Emerald Gaiety'.json,"3-5 ft. tall, 3-6 ft. wide",Summer,"Green, white",
Goldenrod,Solidago spp.,Asteraceae,Herbaceous perennial,,Full sun; partial sun,"Average to infertile, well-drained","Acidic, neutral",2a-8b (USDA),North America,https://www.thespruce.com/thmb/RiCj_J0vHTSRvhDIxit1qFLLt6E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/goldflame-or-gold-mound-spirea-4119888-hero-bf560fbc3fa241ada636b131f25edc09.jpg,Goldenrod Solidago.json,"1.5–5 ft. tall, 1-3 ft. wide",Summer through fall,Yellow,
White mulberry,Morus alba,Moraceae,Deciduous tree,,Full sun to part shade,"Rich, moist, well-drained soil",Adaptable,4 to 8 (USDA),China,https://www.thespruce.com/thmb/GXY4Ysvl3ZWOxXiX6uEc_jre-Gg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-sweet-cherry-trees-5078280-hero-dfc7c34438ba46db804b2b9f8628a269.jpg,White Mulberry Morus alba.json,"30-60 ft. tall, 20-40 ft. wide",Early spring,Yellowish green,
Air plant,Tillandsia stricta,,Houseplant or annual,,"Bright, indirect light",Not applicable,Not applicable,9 to 11,South America,https://www.thespruce.com/thmb/R__eFFDW-acalQ4m0bpS7n81P7k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-tillandsia-stricta-508525902-a068507d774e48cd95bcc9b6ca9e5c67.jpg,Air Plant Tillandsia stricta.json,6 to 12 inches,"Once, when fully matured","Red, pink, blue, or purple",
New Guinea impatiens,Impatiens hawkeri,Balsaminaceae,Annual,"12–18 inches tall, 6–9 inches wide","Full, partial","Moist, but well-drained",Acidic (6.0 to 6.5),Zones 10-12 (USDA),New Guinea,https://www.thespruce.com/thmb/hpT2r1OVbyjWGKDq4xHObIzTsI4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-phormium-1402855-02-45caa701ff0948deae2665fb0fb03c07.jpg,New Guinea Impatiens Impatiens hawkeri.json,"12–18 inches tall, 6–9 inches wide","Spring, summer, fall, winter",,
"Irish moss, pearlwort",Sagina subulata,Caryophyllaceae,"Herbaceous, perennial",,"Full, partial","Sandy, loamy","Acidic, neutral, alkaline",4-8 (USDA),Europe,https://www.thespruce.com/thmb/JLA0D37fi8hCZ8PZMbBtrp3WClE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/italian-stone-pine-growing-tips-3269335-hero-76a453bebae24ff894000b59a6545946.jpg,Irish Moss Sagina subulata.json,"1-2 in. tall, 9-12 in. wide","Spring, summer",White,
"Yellow coneflower, Yellow echinacea, Ozark coneflower",Echinacea paradoxa,,Perennial,,Full sun,Well-drained,Alkaline,3 to 9,North America,https://www.thespruce.com/thmb/zjniu0-NX5XxvJGQyIvbiau6wvw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-yellow-wood-poppies-5079480_07-90756755f7bb4a659698c299b9807d21.jpg,Yellow Coneflower Echinacea Paradoxa.json,2 to 3 feet tall; 1 to 1.5 feet wide,"Summer, Fall",Yellow,
"Strawflower, golden everlasting",Xerochrysum bracteatum,Asteraceae,"Herbaceous, perennial, annual",,"Full, partial",Well-drained,"Neutral, acidic",8-11 (USDA),Australia,https://www.thespruce.com/thmb/vCI62E1HvCS5P8MNja-sTnrvySI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-string-of-buttons-5091592-hero-b31274a4900c41b8b2e46c849be9a5d2.jpg,Strawflower Xerochrysum bracteatum.json,"2-3 ft. tall, 6-18 in. wide","Spring, summer, fall","Yellow, orange, red, white, pink",
"Galaxy Petunia, Starry Sky Petunia",Petunia 'Night Sky',Solanaceae,"Perennial, Herbaceous",,Full,Well-drained,"Neutral, acidic",9-11 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/1NoG9RfecMKT_22KxyEBuEMcnU0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-gardenia-indoors-1902758-hero-c96146bbee274d978322af1510eebf8c.jpg,Galaxy Petunia Petunia 'night sky'.json,"14-16 in. tall, 24-36 in. wide","Summer, fall","Purple, white",
Tiger lily,Lilium lancifolium (also Lilium tigrinum),Liliaceae,"Herbaceous, perennial",,"Full, partial","Loamy, moist, well-draining",Acidic,3–9 (USDA),Asia,https://www.thespruce.com/thmb/FeOO6m1PXjoMPZAlRyKXRLFK9Hk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-tomatillos-in-the-vegetable-garden-1403467-04-eedc081356254d77bf17fa71bc516eb7.jpg,Tiger Lily Lilium lancifolium.json,"3–5 ft. tall, 7–8 in. wide",Summer,"Orange, red, yellow, white, pink","Toxic to cats, toxic to humans"
Mint,Mentha spp.,Lamiaceae,"Perennial, herb","12–18 in. tall, 18–24 in. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral","3–11, USA (depends on species)","North America, Africa, Australia",https://www.thespruce.com/thmb/zlm_0Ey1xpFzN7mckmSOUEPTmlQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mistletoe-cactus-plant-care-5199500-hero-b2449bdf044144c2a1f299d845411cd7.jpg,Mint Mentha.json,"12–18 in. tall, 18–24 in. wide",Summer,,Toxic to animals
"Banana Yucca, datil yucca, Spanish bayonet",Yucca baccata,Asparagaceae,Cactus/Succulent,,Full,"Dry, sandy, well-drained","Neutral, alkaline",5-11 (USDA),"Southwestern US, Mexico",https://www.thespruce.com/thmb/iiXpL46XEXlfra_RdcqE5F4KXHg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/banana-tree-growing-profile-3269353-04-f45b07821d1d4f2bb3004d1daec0df4e.jpg,Banana Yucca Yucca baccata.json,"Foliage 2-3 ft. tall, bloom spike 2 ft. tall",Spring,Cream/White,"Toxic to dogs, cats, horses"
"Pitch pine, candlewood pine, torch pine",Pinus rigida,Pinaceae,Coniferous tree,,"Full, partial","Sandy, well-draining",Acidic to neutral (5.0–6.5),4–7 (USDA),Eastern North America,https://www.thespruce.com/thmb/BUkxSw0E146bVrqM5Uts2iEw5vE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/plectranthus-plant-profile-4797062-9-597c21da5aca41f2975910de6aed23e4.jpg,Pitch Pine Pinus rigida.json,"40–90 ft. tall, 30–50 ft. wide",Spring,Green (insignificant),
"Peanut butter tree, harlequin glorybower, fate tree",Clerodendrum trichotomum,Verbenaceae,"Perennial, tree",,"Full, partial","Well-drained, loamy, sandy","Neutral, acidic",6-10 (USDA),Asia,https://www.thespruce.com/thmb/jUhBgau71Z0HbE-ktRQTHmExVgc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/peanut-plant-profile-4797389-hero-439ff76cc5444ca7869eacb25e683306.jpg,Peanut Butter Bush Clerodendrum trichotomum.json,"10-15 ft. tall, 10-15 ft. wide",Summer,"White, pink",Toxic to people
"Grey dogwood, Panicled dogwood",Cornus racemosa,,Perennial shrub,,Full sun to part shade,"Sandy, Silt, Clay, Loamy",5 to 8,4 to 8,Eastern North America,https://www.thespruce.com/thmb/5wquHrmgn49DFy8RVXQFx4JQC9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-guava-indoors-1902618-01-490d5fbdf6344313b6e955a5d8c91602.jpg,Grey Dogwood Cornus racemosa.json,"10 to 15 feet height, 10 to 15 feet spread",Late spring,White,
Japanese maple 'Osakazuki',Acer palmatum 'Osakazuki,,Deciduous tree,,Part sun to part shade,"Well-drained, loam","Neutral, tolerates acidic soil",5-8 (USDA),Japan,https://www.thespruce.com/thmb/JEXnsW2qp4sP0ySFGKqZxnlQ1JM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lifesaver-plant-profile-5072331-hero-02e356fc378741e1b172cbd429a488e5.jpg,Osakazuki Japanese Maple Acer palmatum 'Osakazuki.json,"15-25 feet tall, 10-15 feet wide",Spring,"N/A, flowers inconspicuous",Non-toxic to humans and animals
Lodi apple tree,Malus lodi,,Fruit tree,,Full sun,"Well-drained, loamy",7-Jun,8-Mar,Washington,https://www.thespruce.com/thmb/qOitfmCXfzv7pT85f-aJWS3kCXE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/london-plane-tree-growing-profile-3269340_01-6e88496c7e0c4826a5505ca3faa09122.jpg,Lodi Apple Tree Malus lodi.json,20 feet tall,July,Greenish yellow apples,
"Dragon lily, Voodoo lily, Stink lily, Black lily, Snake lily",Dracunculus vulgaris,,Perennial,,Full sun to partial shade,"Rich, moist, well-draining",Neutral,"7 to 10, USA","Algeria, Southeast Europe, Turkey",https://www.thespruce.com/thmb/apXZwsMjN3ljYzD21C83x5fFM20=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1303668657-931b074728dc4b2885b79003461d593e.jpg,Dragon Lily Dracunculus vulgaris.json,4 to 6 ft. tall,"Late spring, early summer",Purple-black or deep maroon,
Fire Island hosta,Hosta longipes f. hypoglauca X H. Crested Surf,Asparagaceae,"Herbaceous, with a perennial life cycle",,Partial shade,"Evenly moist and well-drained, with average fertility",Neutral to slightly acidic,3 to 9 USDA,Northeast Asia,https://www.thespruce.com/thmb/zlHTso5ECG81w2Id8RzbT_lXmfQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-cigar-plants-5087953-hero-5d77e37b60844f339b0a96d5b261b352.jpg,Fire Island Hosta Hosta 'Fire Island'.json,"1 ft. high, 28 in. spread",Mid-summer,Lavender,"Toxic to dogs, cats, horses"
"Saucer magnolia, tulip magnolia, Chinese magnolia",Magnolia x soulangiana,Magnoliaceae,"Tree, shrub",,"Full, partial",Moist but well-drained,"Acidic, neutral",4-9 (USDA),Asia,https://www.thespruce.com/thmb/0gKxklS4lIuyHTUGmGW1Lk1BmNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-scarlet-oak-trees-5081537-hero-cc8d0a7325ff40c98a15bf4d843f2c22.jpg,Saucer Magnolia Magnolia x soulangiana.json,"20 to 25 ft. tall, 20 to 25 ft. wide",Spring,"Pink, white",
"Poinsettia, Mexican flameleaf, Christmas star",Euphorbia pulcherrima,Euphorbiaceae,Shrub,,"Full, partial","Loamy, well-drained","Neutral, acidic",9–11 (USDA),Mexico,https://www.thespruce.com/thmb/QWZyJtGkFYMJX68vPU-idlJeeVQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/thespruce.com-poison-sumac-pictures-4071931-4-84700807b2a74b049217a86147b6c258.jpg,Poinsettia Euphorbia pulcherrima.json,"3–10 ft. tall, 3–7 ft. wide",Winter,Yellow,Toxic to pets
"Pink quill, fan flower, blue flowered torch",Tillandsia cyanea,,"Perennial, succulent",,Partial shade,nan,nan,"11 and above, USA",South America,https://www.thespruce.com/thmb/6o_1nFAJG3EevcWoqGmV0j-rHFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pitch-pine-plant-profile-4847062-hero-5aee5010257743228af2e8660e17af5c.jpg,Pink Quill Tillandsia cyanea.json,Up to 10 in. tall,,"Blue, purple",
"Blue star creeper, swamp isotome",Isotoma fluviatilis,Campanulaceae,"Herbaceous, perennial",,"Full, partial","Moist, well-draining","Acidic, neutral",6–8 (USDA),"Australia, New Zealand",https://www.thespruce.com/thmb/r-iNushL84F-rzZAWSWezFLX1is=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/blue-star-creeper-plant-profile-4846530-hero-23e490f51d6442e99310106446625439.jpg,Blue Star Creeper Isotoma fluviatilis.json,"2–3 in. tall, 1–2 ft. wide","Spring, summer","Blue, purple",
"Georgia pine, hard pine, heart pine, hill pine, longleaf pine, longleaf yellow pine, Southern yellow pine, longstraw pine",Pinus palustris,Pine,Evergreen tree,,Full sun,Prefers well-drained soil but has some clay tolerance,Acidic to neutral,7 to 9,Southeastern U.S.,https://www.thespruce.com/thmb/Qic1AdsFclCERFpGavltcpHjbEM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/loquat-tree-plant-profile-5091599-hero-1a51508af00648daaa3c1d81dabac176.JPG,Longleaf Pine Pinus palustris.json,80 to 100 feet,,,
Marigold,Tagetes spp.,Asteraceae,"Herbaceous, annual",,Full,"Evenly moist, well-drained",Slightly acidic to neutral (6.0 to 7.0),2-11 (USDA); annual in all zones,Southern North America (Mexico),https://www.thespruce.com/thmb/x-IEVWegatWATsiga0QOQeEVbjA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-marshmallow-plants-5082977-hero-7966f29f1d6141b2a802b1c8daf824bd.jpg,Marigold Tagetes.json,"4–48 in. tall, 6–24 in. wide",Summer,"Yellow, orange, white, red, gold, bicolor",
"Gasteria, ox tongue, cow's tongue",Gasteria spp.,Asphodelaceae,"Perennial, succulent",,"Full, partial","Sandy, well-drained","Acidic, neutral",9-11 (USDA),South Africa,https://www.thespruce.com/thmb/BVlUY0-yfH7LVZjAfrOpevm2hwQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-true-perennial-geraniums-1402842-hero-56ece6ed6910426cb3b8ce606d3d2e5e.jpg,Gasteria Gasteria.json,"4-24 in. tall, 12 in. wide","Winter, spring","Red, pink",
"Chaste tree (chastetree), vitex",Vitex agnus-castus,Lamiaceae,Shrub,,Full,"Loose, well-drained","Acidic, neutral, alkaline",6–9 (USDA),"Mediterranean, Asia",https://www.thespruce.com/thmb/Gl1TNkrVIZqE2Ro6rJ4xH3nke1U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/gaura-the-wandflower-1316028-11-41f52d42d55c4a7ebf064447c6cb026d.jpg,Vitex Vitex agnus-castus.json,3-20 ft. tall; 3-15 ft. wide,Summer,"Purple, blue, pink, white",
Aeonium,Aeonium spp.,Crassulaceae,Perennial succulent,,Full sun to part shade,Sandy loam,5.6–6.0 (slightly acidic),9–11 (USDA); often grown as potted plants,"Canary Islands, Africa",https://www.thespruce.com/thmb/iXIPd9Hklebxj9vR_jHGQVnr_ac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRileyAeoniums-13-1c0b63c195bf43a1a841c2cd7fe49b58.jpg,Aeonium Aeonium.json,2–60 in. (depending on species and variety),Late winter or spring,"Pink (flowering is rare, occurring only in mature plants)",
"Snow-in-summer, silver carpet, mouse ear, chickweed",Cerastium tomentosum,Caryophyllaceae,"Herbaceous, perennial",,Full,"Loamy, sandy, well-drained","Acidic, neutral",3-8 (USDA),Europe,https://www.thespruce.com/thmb/Bz60MCDBByL5JxYjMrqZTyZj-ok=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/herb-soapwort-4107277-hero-40f056049ee244508d8927df5f6b040e.jpg,Snow-In-Summer Cerastium tomentosum.json,"6-2 in. tall, 9-12 in. wide",June,White,
"Pineapple Guava, Feijoa",Acca sellowiana,Myrtaceae,"Perennial, Tree, Shrub, Fruit",,"Full, Partial","Loamy, Moist but Well-drained","Acidic, Neutral","8-11, USA",South America,https://www.thespruce.com/thmb/XUwAeft0vXvKbGlCfOUrUEg8D2k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-velvet-banana-trees-5077412-hero-88356b37a468494580191344d61f3ec7.JPG,Pineapple Guava Feijoa.json,"20 ft. tall, 20 ft. wide",Spring,"Red, Pink, White",
"Sneezeweed, Helen's Flower",Helenium autumnale,Asteraceae,Perennial flower,,Full sun,"Moist, well-draining",5.5 to 7.0,3–8 (USDA),North America and southern Canada,https://www.thespruce.com/thmb/46wo13sf-q4369taKu6_-QK9Ryo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-snow-in-summer-plants-2132613_01-f3919ca689e2435cb11b461908fed425.jpg,Sneezeweed Helenium autumnale.json,2–5 feet tall,"Late summer, Fall","Yellow, gold, orange, coppery brown, red",
"Prairie Blazing Star, Cat-tail Blazing Star, Prairie Gayfeather",Liatris pycnostachya,,Herbaceous perennial,,Full Sun,Tolerant of a variety of soil types - preference for it to be moist,Can tolerate a wide range,3 to 9,Prairies of Central United States,https://www.thespruce.com/thmb/efnFyQDU14v_yHcml0vfzvBS034=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-the-carolina-rose-5076021-hero-7c4d92ddccf941e2a9bd85a3bb65c8ef.jpg,Prairie Blazing Star Liatris pycnostachya.json,Up to 5 foot,Late summer,Purple,
